f1_val,f1_test
71.84465789794922,68.46847534179688
69.0,67.28971099853516
72.4137954711914,72.86822509765625
71.96261596679688,75.21367645263672
73.30316162109375,74.38017272949219
69.38776397705078,71.875
72.97296905517578,70.4917984008789
72.7272720336914,75.00000762939453
69.44444274902344,69.4214859008789
71.3692855834961,75.5905532836914
70.94017028808594,70.4917984008789
73.21428680419922,72.0
71.36563873291016,70.4917984008789
71.1711654663086,72.88135528564453
72.4637680053711,71.07437896728516
69.52381134033203,73.9495849609375
72.8971939086914,71.79486846923828
72.3809585571289,70.5882339477539
74.23580932617188,75.40983581542969
71.55963897705078,70.4917984008789
72.32142639160156,72.13114929199219
70.81339263916016,72.26890563964844
73.21428680419922,69.35484313964844
72.0,72.56636810302734
72.32142639160156,72.4409408569336
70.81339263916016,72.72727966308594
69.95516204833984,75.80644226074219
74.03845977783203,73.21429443359375
74.0740737915039,70.68965148925781
72.97296905517578,73.50428009033203
