f1_val,f1_test,f1_test_dirty
81.40704345703125,76.36363983154297,68.88888888888889
79.3814468383789,72.0,58.536585365853654
79.3814468383789,76.19047546386719,66.66666666666666
77.72925567626953,75.4385986328125,67.96116504854369
77.6698989868164,73.77049255371094,72.54901960784314
77.07317352294922,71.4285659790039,68.75
78.84614562988281,80.0,70.2127659574468
76.84729766845703,82.56880950927734,66.66666666666666
77.88461303710938,77.8760986328125,69.38775510204083
76.63551330566406,76.52173614501953,75.92592592592592
76.6519775390625,75.63025665283203,64.64646464646464
78.3018798828125,76.27118682861328,71.57894736842104
76.31578826904297,78.2608642578125,66.66666666666666
77.94871520996094,77.77778625488281,54.99999999999999
76.6519775390625,77.96609497070312,70.2127659574468
76.92308044433594,73.58490753173828,70.70707070707071
76.63551330566406,78.99160766601562,69.81132075471697
78.37837982177734,76.52173614501953,75.00000000000001
77.68595123291016,75.968994140625,65.97938144329896
80.39215850830078,75.00000762939453,64.58333333333334
80.0,79.24528503417969,65.11627906976744
79.39698791503906,77.77778625488281,71.11111111111111
79.80769348144531,74.76634979248047,67.41573033707866
78.2608642578125,80.00000762939453,66.66666666666666
78.0,77.35848236083984,66.66666666666666
79.09091186523438,76.0330581665039,68.81720430107526
79.65367889404297,75.40983581542969,68.9655172413793
78.53881072998047,75.40983581542969,66.66666666666666
80.55555725097656,71.4285659790039,69.47368421052632
75.22123718261719,78.63248443603516,69.23076923076923
