id,rm_score_clean,rm_score_dirty,dm_prob_clean,dm_prob_dirty
45012,0.8333333333333334,0.5833333333333334,0.6120173931121826,0.3119860291481018
45063,0.8333333333333334,0.5833333333333334,0.7733029127120972,0.21232926845550534
45083,0.7666666666666666,0.6,0.8763219714164734,0.07539127767086029
45114,0.7999999999999999,0.6666666666666666,0.8423105478286743,0.5359044075012207
45133,0.7777777777777777,0.6944444444444445,0.6344783902168274,0.5763245820999146
45200,0.7916666666666666,0.4166666666666667,0.88548344373703,0.2387882173061371
45213,0.75,0.5833333333333334,0.8754892349243164,0.22260239720344546
45260,0.7916666666666666,0.7083333333333334,0.9404389262199402,0.47235983610153204
45396,0.7999999999999999,0.7166666666666667,0.6532707810401917,0.3699949085712433
45406,0.7777777777777778,0.6759259259259259,0.9233431816101074,0.249634712934494
45499,0.875,0.6944444444444445,0.9158238172531128,0.345601350069046
45571,0.8333333333333334,0.6388888888888888,0.8622772097587585,0.4988422691822052
45592,0.75,0.6666666666666666,0.7091546654701233,0.5051421523094177
45633,0.75,0.6666666666666666,0.5841217041015625,0.5180203914642334
45642,0.7592592592592592,0.5833333333333334,0.8761315941810608,0.11950739473104476
45690,0.7999999999999999,0.65,0.5903986096382141,0.5500001907348633
45703,0.8611111111111112,0.6111111111111109,0.9240049719810486,0.5566353797912598
45844,0.75,0.6666666666666666,0.6286125183105469,0.4854516685009002
45911,0.7916666666666666,0.625,0.8925879001617432,0.3225429654121399
45949,0.8452380952380952,0.7083333333333334,0.941547691822052,0.08781486749649048
45978,0.8833333333333333,0.6541666666666667,0.6663227677345276,0.20180392265319824
46008,0.75,0.6666666666666666,0.7681613564491272,0.5439234375953674
46037,0.8083333333333332,0.6416666666666667,0.8227395415306091,0.5622262954711914
46047,0.8944444444444445,0.7277777777777779,0.8122493028640747,0.3329923152923584
46096,0.75,0.5833333333333334,0.6014347076416016,0.2791567146778107
46098,0.75,0.5,0.6271509528160095,0.4895550012588501
46106,0.8379629629629629,0.5833333333333334,0.9471843242645264,0.3742614388465881
46108,0.8333333333333334,0.5952380952380952,0.962096095085144,0.3853849172592163
46138,0.8333333333333334,0.5833333333333334,0.8374006152153015,0.3110570013523102
46172,0.75,0.5833333333333334,0.6838158965110779,0.13841044902801514
46190,0.7857142857142857,0.7023809523809524,0.968923568725586,0.5191987752914429
46191,0.8690476190476191,0.6190476190476191,0.9360041618347168,0.26213589310646057
46192,0.7857142857142857,0.6190476190476191,0.8303736448287964,0.2006024718284607
46246,0.8833333333333333,0.6666666666666666,0.760884702205658,0.3581478297710419
46274,0.8462962962962962,0.6462962962962963,0.6710189580917358,0.13259972631931305
46278,0.8560606060606061,0.6893939393939394,0.7883596420288086,0.19389253854751587
46453,0.75,0.4285714285714286,0.8971759080886841,0.2447852045297623
46464,0.85,0.6833333333333332,0.9380369186401368,0.20925210416316986
46465,0.7857142857142857,0.5357142857142857,0.9426944255828856,0.3466891050338745
46466,0.75,0.5833333333333334,0.9454709887504578,0.4027794599533081
46474,0.85,0.5833333333333334,0.9824259281158448,0.13830359280109406
46484,0.875,0.5,0.9154618978500366,0.15748494863510132
46506,0.875,0.5277777777777778,0.9464990496635436,0.4616810977458954
46507,0.7761904761904762,0.4150793650793651,0.8758684992790222,0.2074844390153885
46538,0.8333333333333334,0.5833333333333334,0.7328434586524963,0.37233033776283264
46580,0.8333333333333334,0.6666666666666666,0.9421051740646362,0.5119884014129639
46618,0.9166666666666666,0.6666666666666666,0.8692448139190674,0.3534652292728424
46638,0.8333333333333334,0.5,0.908768355846405,0.18010492622852325
46705,0.7916666666666666,0.625,0.5882923007011414,0.06302944570779799
46726,0.8611111111111112,0.6111111111111109,0.96569162607193,0.3791667222976685
46753,0.75,0.5833333333333334,0.9102891087532043,0.2912927567958832
