id,rtyp_a,c008_form_m,c008_dat1_m,c008_dat2_m,c008_dat1_sub,c008_lang_m,c008_ctry_m,v1x0_inv,v1x0_typo,v7x0_m,v7x0_half,v245b_m,v245c_m,v245_typo,v250_m,v250_mov,v26x_ntok_m,v26x_unk,v26x_typo,v300bc_m,nb_errors,rm_score_clean,rm_score_dirty,rm_score_diff,dm_prob_clean,dm_prob_dirty,dm_score_diff
49715,,,,,1,1,1,,1,,,,,,,,1,,,,5,0.8611,0.5833,0.2778,0.6564,0.0904,0.5660
49407,,1,,,1,,,,,,,,,,,,1,,,,3,0.8056,0.7222,0.0833,0.9793,0.4137,0.5655
49929,,1,,,,,1,,,,,,,,,,1,,,1,4,0.8333,0.7167,0.1167,0.8926,0.3296,0.5631
45063,,,1,,,1,1,,1,,,,1,,,,1,,,,6,0.8333,0.5833,0.2500,0.7733,0.2123,0.5610
47494,,1,,,,1,,,,,,,,,,,,,,1,3,0.8750,0.7083,0.1667,0.7999,0.2397,0.5602
49881,,1,,,,,1,,,,,,,,,,1,,,,3,0.8333,0.6667,0.1667,0.9691,0.4101,0.5591
48160,,,,,1,,,1,,,,,1,,1,,,,,1,5,0.7500,0.6528,0.0972,0.8298,0.2724,0.5574
47392,,,,,,1,,,,,,,,,,1,,,,,2,0.7833,0.6833,0.1000,0.7364,0.1815,0.5548
47748,,1,,,,,,,1,,,,,,,,,,,,2,0.8333,0.6667,0.1667,0.9655,0.4110,0.5545
47314,,1,,,,1,,1,,,,,,,,,,,,1,4,0.7500,0.5833,0.1667,0.8867,0.3359,0.5508
49010,,1,,,,1,1,,,,,,,,,,,1,,,4,0.7500,0.5833,0.1667,0.8698,0.3232,0.5466
46172,,1,,,,1,1,,,,,,1,,,,1,,,,5,0.7500,0.5833,0.1667,0.6838,0.1384,0.5454
49132,,1,,,,1,1,1,,,,,,1,,,,,,,5,0.8077,0.5476,0.2601,0.9385,0.3943,0.5442
46466,,1,,,,1,,,,,,,1,,,,,,,,3,0.7500,0.5833,0.1667,0.9455,0.4028,0.5427
46990,,,1,,,,1,,,,,,,,,,,,,1,3,0.7500,0.6667,0.0833,0.7824,0.2411,0.5413
46274,,1,1,,,,1,,,,,,,,,,1,,,,4,0.8463,0.6463,0.2000,0.6710,0.1326,0.5384
