f1_val,f1_test
78.89908599853516,77.19298553466797
78.0952377319336,73.21429443359375
80.00000762939453,70.90908813476562
78.9473648071289,75.63025665283203
76.36363983154297,79.6460189819336
77.6698989868164,80.0
80.0,76.9230728149414
79.4520492553711,76.52173614501953
76.71233367919922,75.86206817626953
82.24298858642578,76.10619354248047
81.63265228271484,78.84614562988281
77.2727279663086,73.33333587646484
79.24528503417969,78.2608642578125
78.13953399658203,75.0
79.46428680419922,77.77777862548828
75.0,75.80644226074219
80.71749114990234,76.9230728149414
80.90909576416016,73.8738784790039
79.24528503417969,76.66666412353516
74.8663101196289,76.63551330566406
78.7330322265625,78.33333587646484
75.77092742919922,76.66666412353516
79.20792388916016,75.4717025756836
81.77339935302734,80.76923370361328
79.8245620727539,78.04878997802734
77.31958770751953,80.39215850830078
77.8760986328125,79.31034851074219
81.592041015625,75.22936248779297
75.0,77.58619689941406
80.61225128173828,73.39449310302734
