f1_val,f1_test,f1_test_dirty
81.260986328125,80.68488311767578,66.22720281256866
82.51600646972656,81.43644714355469,69.05699481865284
81.27497863769531,79.87580871582031,66.70948405052451
82.24989318847656,81.4193115234375,68.7137642258965
82.78374481201172,81.12214660644531,68.4931506849315
82.01324462890625,81.2044906616211,66.94487151328794
81.13935089111328,80.81440734863281,65.95139040945917
81.34786987304688,80.27423858642578,65.77680525164114
80.54271697998047,81.09169006347656,66.82464454976304
81.34879302978516,80.69438934326172,67.53081172970676
81.66180419921875,80.72855377197266,65.52719200887901
81.58943176269531,80.44952392578125,66.880068288519
80.4810791015625,80.00773620605469,64.99890278692122
81.78459930419922,80.6165771484375,67.03200350723367
81.78694152832031,80.7251205444336,68.05215973920129
81.14630889892578,80.32720947265625,67.86026200873361
81.14490509033203,81.18123626708984,68.77752149297548
81.83020782470703,81.31785583496094,72.20015885623512
81.3341064453125,81.01412200927734,67.11496746203905
81.15113067626953,80.46859741210938,68.60223973454998
81.63937377929688,81.09745025634766,68.98707794914549
81.15260314941406,80.22467803955078,67.43261157755192
81.2549057006836,80.14763641357422,66.58036677454153
82.7303695678711,81.27154541015625,69.7324414715719
81.89096069335938,80.903564453125,68.05944432479001
81.46369171142578,80.80693817138672,65.51724137931035
82.00198364257812,81.15489959716797,69.00129701686122
82.27909088134766,81.72453308105469,68.32694763729246
81.70137786865234,81.43296813964844,69.17103882476391
82.16716766357422,81.39622497558594,69.46983546617916
