f1_val,f1_test
78.25311279296875,74.86238861083984
77.55101776123047,76.25898742675781
78.02197265625,74.30683898925781
77.32611083984375,78.4172592163086
76.65705871582031,74.36399841308594
77.49077606201172,77.69231414794922
76.39257049560547,72.38806915283203
76.66371154785156,75.86206817626953
79.04509735107422,76.57992553710938
77.55101776123047,75.44483947753906
77.90802001953125,75.33460235595703
78.04877471923828,76.5048599243164
77.47747802734375,77.34806823730469
76.8079833984375,74.50331115722656
77.00084686279297,77.06092834472656
75.8936767578125,74.06015014648438
77.07231140136719,75.82418060302734
77.76727294921875,77.9922866821289
77.20929718017578,76.49402618408203
78.5653305053711,75.22280883789062
76.6751480102539,75.80371856689453
77.05068969726562,75.67567443847656
77.7092514038086,77.19298553466797
78.60340118408203,77.19298553466797
76.92308044433594,75.24366760253906
76.8472900390625,76.44151306152344
77.83064270019531,75.64356231689453
77.4791488647461,78.1783676147461
76.02339172363281,76.953125
75.35145568847656,76.13636779785156
