f1_val,f1_test
82.0543212890625,80.87346649169922
81.00575256347656,80.30332946777344
81.47273254394531,80.21159362792969
82.52340698242188,80.94210052490234
81.46269989013672,80.67355346679688
81.20958709716797,80.03115844726562
81.31998443603516,79.23271942138672
80.60989379882812,80.14339447021484
80.97570037841797,80.22621154785156
81.79725646972656,80.29082489013672
80.6805648803711,80.30781555175781
81.59393310546875,80.75442504882812
80.98037719726562,80.50117492675781
81.56446838378906,80.06329345703125
81.3086929321289,80.98548889160156
82.3598403930664,81.60186004638672
81.61921691894531,79.93839263916016
81.90531158447266,81.1915283203125
81.61103057861328,81.11308288574219
81.5395278930664,80.03971862792969
81.59283447265625,80.4484634399414
81.54601287841797,80.21977996826172
81.60298919677734,81.48722076416016
81.64437866210938,81.10527801513672
81.43289184570312,79.44056701660156
81.73479461669922,80.76998901367188
80.01139068603516,79.91608428955078
80.13048553466797,78.95575714111328
81.42571258544922,80.2819595336914
81.14472198486328,80.82505798339844
