f1_val,f1_test_dirty
80.22283935546875,55.64803695678711
75.7884521484375,42.7236328125
80.16917419433594,60.770973205566406
78.05611419677734,45.98930358886719
79.01806640625,45.87155532836914
77.20481872558594,46.61458969116211
82.3255844116211,60.16073989868164
79.6244125366211,53.705955505371094
77.77262115478516,48.39948654174805
79.54866790771484,55.93220138549805
81.27639770507812,55.46415710449219
79.60151672363281,58.8505744934082
80.09569549560547,51.83312225341797
81.00775146484375,60.7508544921875
81.40316772460938,57.275901794433594
80.16682434082031,58.685447692871094
79.08560180664062,55.36992645263672
78.94485473632812,37.7358512878418
76.953125,39.774330139160156
81.18045043945312,58.080196380615234
78.85874938964844,61.99095153808594
78.07486724853516,43.8016471862793
80.2962875366211,63.991329193115234
79.96165466308594,52.69761657714844
79.90196228027344,60.9080810546875
80.18305969238281,65.80086517333984
80.18647766113281,50.312889099121094
80.3141860961914,49.226806640625
78.96996307373047,51.20405578613281
81.34191131591797,65.22209167480469
