f1_val,f1_test_dirty
75.06950378417969,59.45945739746094
75.82205200195312,58.11137771606445
77.51799011230469,65.2267837524414
75.0246810913086,57.27699661254883
76.5595474243164,58.17307662963867
75.86206817626953,46.75324630737305
76.67303466796875,57.83132553100586
76.96629333496094,60.332542419433594
77.22222900390625,57.28395080566406
76.39405822753906,49.73822021484375
78.49057006835938,54.166664123535156
75.49295806884766,36.5217399597168
75.0455322265625,51.39949417114258
75.24400329589844,62.500003814697266
76.3772201538086,56.47058868408203
77.0694580078125,56.74419021606445
74.58256530761719,44.44444274902344
75.76054382324219,57.00934982299805
76.42276000976562,63.11475372314453
75.37037658691406,55.96330261230469
78.30986022949219,58.33333206176758
77.2808609008789,60.240966796875
74.39703369140625,53.88349533081055
74.54370880126953,58.499996185302734
75.40670013427734,56.385536193847656
74.8633804321289,58.07962417602539
75.84320831298828,57.596370697021484
75.63176727294922,45.59585189819336
76.65757751464844,53.431373596191406
77.13248443603516,57.80885696411133
