f1_val,f1_test,f1_test_dirty
74.0667953491211,77.17171478271484,58.438287153652404
74.81617736816406,76.80609130859375,61.26126126126127
75.9588394165039,75.05071258544922,60.60606060606061
75.76036834716797,76.20890045166016,63.88888888888889
74.82447814941406,75.15399932861328,59.14786967418546
74.16830444335938,75.24752807617188,54.91183879093199
77.15640258789062,76.49402618408203,59.665871121718375
76.1812973022461,76.32652282714844,55.58312655086848
74.44976043701172,77.0750961303711,60.60606060606061
76.81026458740234,74.80620574951172,57.61904761904761
75.3074722290039,74.80314636230469,58.96226415094339
75.39460754394531,75.72815704345703,62.63982102908279
76.37088775634766,77.43270874023438,50.81967213114754
75.29844665527344,74.3190689086914,63.47826086956522
73.90438079833984,75.25988006591797,48.9247311827957
74.50199127197266,75.1037368774414,50.53191489361703
74.31694030761719,75.65543365478516,60.94808126410835
75.65470886230469,74.5967788696289,52.41730279898218
76.33434295654297,77.9874267578125,55.10204081632652
74.15945434570312,74.94908142089844,53.29949238578679
75.90132904052734,75.34516906738281,60.28708133971292
74.95256042480469,72.83464813232422,59.44700460829493
75.68667602539062,75.15924072265625,55.52699228791774
76.69902801513672,76.4000015258789,60.19417475728156
75.51020050048828,75.14677429199219,62.211981566820285
75.07691955566406,74.62686920166016,51.733333333333334
76.48725128173828,73.25581359863281,54.278728606356964
76.69902801513672,75.50201416015625,59.95203836930456
74.59349822998047,74.89177703857422,58.476658476658486
74.16830444335938,75.86207580566406,58.96805896805897
